figure,page,status,baseline_png_sha12,stage3_png_sha12
E3_claiming_density.pdf,1,MATCH,d4aae1a0f884,d4aae1a0f884
E3_claiming_density_men.pdf,1,MATCH,9a902bb813f5,9a902bb813f5
E3_claiming_density_women.pdf,1,MATCH,d95d0b5790e3,d95d0b5790e3
E3_claiming_haz_dist.pdf,1,MATCH,a1e345da2c27,a1e345da2c27
E3_claiming_haz_quarters_group.pdf,1,MATCH,d95fb620262a,d95fb620262a
E4_pension_schedule_men.pdf,1,MATCH,c5d32d908be1,c5d32d908be1
E4_pension_schedule_women.pdf,1,MATCH,0768325d564f,0768325d564f
F4_eventstudy_agg_1.pdf,1,MATCH,6e02c5dae015,6e02c5dae015
F4_eventstudy_agg_2.pdf,1,MATCH,269685bd36fa,269685bd36fa
F4_eventstudy_agg_3.pdf,1,MATCH,50ddc6d3145c,50ddc6d3145c
F4_eventstudy_agg_4.pdf,1,MATCH,8b9f3d989798,8b9f3d989798
F4_eventstudy_agg_5.pdf,1,MATCH,e60114b86878,e60114b86878
H2_dd_tax_collection_1.pdf,1,MATCH,15cf6d2876f1,15cf6d2876f1
I6_plot_cumsum_actual_reform_multby20_sample.pdf,1,MATCH,7e28d1620866,7e28d1620866
frequenciesLQ0.pdf,1,MATCH,84c2ca6d2e2b,84c2ca6d2e2b
frequenciesLQ1.pdf,1,MATCH,2cba6e8f588f,2cba6e8f588f
frequenciesLQ10.pdf,1,MATCH,5451b2566024,5451b2566024
frequenciesLQ11.pdf,1,MATCH,fc7246210b88,fc7246210b88
frequenciesLQ12.pdf,1,MATCH,b2ed938191b2,b2ed938191b2
frequenciesLQ2.pdf,1,MATCH,c480596af278,c480596af278
frequenciesLQ3.pdf,1,MATCH,cba84db0145d,cba84db0145d
frequenciesLQ4.pdf,1,MATCH,d1ff71c958ef,d1ff71c958ef
frequenciesLQ5.pdf,1,MATCH,f7faba3ff328,f7faba3ff328
frequenciesLQ6.pdf,1,MATCH,227a946f87cc,227a946f87cc
frequenciesLQ7.pdf,1,MATCH,046bd1fc387e,046bd1fc387e
frequenciesLQ8.pdf,1,MATCH,906888775ed6,906888775ed6
frequenciesLQ9.pdf,1,MATCH,8726cd3e0e7a,8726cd3e0e7a
frequenciesQ-1.pdf,1,MATCH,d11e875e7d19,d11e875e7d19
frequenciesQ-2.pdf,1,MATCH,82fd5a1df828,82fd5a1df828
frequenciesQ-3.pdf,1,MATCH,c48f2635d9db,c48f2635d9db
frequenciesQ0.pdf,1,MATCH,f5a78c54317c,f5a78c54317c
frequenciesQ1.pdf,1,MATCH,2a304a9e34e1,2a304a9e34e1
frequenciesQ10.pdf,1,MATCH,65eaae2ad087,65eaae2ad087
frequenciesQ11.pdf,1,MATCH,65352773da45,65352773da45
frequenciesQ12.pdf,1,MATCH,80487af9fcc4,80487af9fcc4
frequenciesQ2.pdf,1,MATCH,ac1554ce3e29,ac1554ce3e29
frequenciesQ3.pdf,1,MATCH,1e86f5edf14f,1e86f5edf14f
frequenciesQ4.pdf,1,MATCH,38e1c3c42fff,38e1c3c42fff
frequenciesQ5.pdf,1,MATCH,b7e61effefeb,b7e61effefeb
frequenciesQ6.pdf,1,MATCH,c0c3c4e7648f,c0c3c4e7648f
frequenciesQ7.pdf,1,MATCH,e1397b69c6e1,e1397b69c6e1
frequenciesQ8.pdf,1,MATCH,0ef7a38316d1,0ef7a38316d1
frequenciesQ9.pdf,1,MATCH,ef880edc3a0d,ef880edc3a0d
frequenciesSQ0.pdf,1,MATCH,9004d3be8f1b,9004d3be8f1b
frequenciesSQ1.pdf,1,MATCH,2975f1dc6936,2975f1dc6936
frequenciesSQ10.pdf,1,MATCH,ec483638a180,ec483638a180
frequenciesSQ11.pdf,1,MATCH,6673dfdc7767,6673dfdc7767
frequenciesSQ12.pdf,1,MATCH,bbcbe31e352f,bbcbe31e352f
frequenciesSQ2.pdf,1,MATCH,4bbe257e8fb6,4bbe257e8fb6
frequenciesSQ3.pdf,1,MATCH,280a2dacd088,280a2dacd088
frequenciesSQ4.pdf,1,MATCH,0a5dd4529f3f,0a5dd4529f3f
frequenciesSQ5.pdf,1,MATCH,6effdfe96b23,6effdfe96b23
frequenciesSQ6.pdf,1,MATCH,6ba9e89341c4,6ba9e89341c4
frequenciesSQ7.pdf,1,MATCH,1b8d9c098fad,1b8d9c098fad
frequenciesSQ8.pdf,1,MATCH,ee8b718ba7e2,ee8b718ba7e2
frequenciesSQ9.pdf,1,MATCH,957c5ffad403,957c5ffad403
new-12.pdf,1,MATCH,9071fc3f300e,9071fc3f300e
new-3.pdf,1,MATCH,b4afb65a6f3a,b4afb65a6f3a
new0.pdf,1,MATCH,7d208068b832,7d208068b832
new13.pdf,1,MATCH,ff2196732415,ff2196732415
new4.pdf,1,MATCH,002d9a84ecf5,002d9a84ecf5
old-12.pdf,1,MATCH,926a333664ea,926a333664ea
old-3.pdf,1,MATCH,f182e49ebc9f,f182e49ebc9f
old0.pdf,1,MATCH,c14ea1d7dbe6,c14ea1d7dbe6
old13.pdf,1,MATCH,a5eb7cd21f7b,a5eb7cd21f7b
old4.pdf,1,MATCH,e143c3be2ad1,e143c3be2ad1
